,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
279,shuangcheng,cn,-2,54,0,8,45.37,126.3
280,lodwar,ke,29.9,54,20,3.57,3.12,35.6
281,kaitangata,nz,12.4,71,12,4.82,-46.28,169.85
282,beloha,mg,28.8,54,20,9.17,-25.17,45.06
283,mecca,sa,36,25,0,3.1,21.43,39.83
284,walvis bay,na,23,56,12,4.1,-22.95,14.51
285,clyde river,ca,-26,75,20,9.8,70.47,-68.59
286,boddam,gb,2,59,75,7.2,57.47,-1.78
287,talara,pe,28,55,36,1.77,-4.58,-81.27
288,haines junction,ca,-10.45,78,88,0.97,60.75,-137.51
289,fare,pf,27.5,100,68,5.72,-16.7,-151.02
290,hualmay,pe,23.65,73,0,1.77,-11.1,-77.61
291,presidente medici,br,27.75,84,76,1.42,-11.18,-61.9
292,nanortalik,gl,1.3,90,48,15.62,60.14,-45.24
293,nelson bay,au,24,60,36,2.1,-32.72,152.14
294,muisne,ec,25.3,99,36,1.82,0.61,-80.02
295,gari,ru,-9.25,79,80,2.27,59.43,62.35
296,minab,ir,25,57,0,9.3,27.15,57.07
297,aykhal,ru,-25.1,58,36,3.37,65.95,111.51
298,cabo san lucas,mx,18,72,40,5.1,22.89,-109.91
299,zambezi,zm,24.45,86,64,3.22,-13.55,23.12
300,meybod,ir,15,28,40,6.2,32.25,54.02
301,vila franca do campo,pt,17,93,40,6.2,37.72,-25.43
302,suslovo,ru,-7,85,0,2.42,56.22,88.12
303,porto velho,br,27,78,20,1.5,-8.75,-63.87
304,bubaque,gw,34,32,0,2.6,11.28,-15.83
305,pucallpa,pe,26,88,75,1.5,-8.38,-74.54
306,rancharia,br,31,52,0,3.6,-22.23,-50.89
307,tral,in,-0.55,81,44,1.02,33.93,75.11
308,phan thiet,vn,25.7,93,0,5.97,10.93,108.1
309,savinka,ru,-1.7,91,92,8.42,50.08,47.1
310,burnie,au,17.3,100,92,19.32,-41.05,145.91
311,kyzyl-mazhalyk,ru,-8.4,65,48,1.07,51.15,90.58
312,bantry,ie,3.65,100,24,8.72,51.68,-9.45
313,punalur,in,29,89,40,1,9.02,76.93
314,batesville,us,7.06,81,90,2.6,35.77,-91.64
315,leningradskiy,ru,-27.1,99,56,1.67,69.38,178.42
316,el rosario,sv,26,88,40,1.07,13.58,-88.08
